iter	Passed	Remaining
0	16	7230
1	31	6800
2	47	6933
3	66	7211
4	81	7044
5	94	6825
6	109	6759
7	121	6572
8	136	6510
9	151	6504
10	166	6497
11	179	6388
12	193	6336
13	207	6298
14	222	6277
15	235	6236
16	250	6224
17	264	6187
18	281	6214
19	295	6189
20	310	6170
21	323	6130
22	336	6092
23	350	6062
24	366	6071
25	379	6034
26	392	5991
27	406	5966
28	419	5933
29	433	5912
30	446	5882
31	459	5842
32	473	5826
33	486	5791
34	499	5768
35	513	5752
36	527	5726
37	540	5701
38	553	5672
39	566	5648
40	580	5635
41	594	5621
42	608	5605
43	620	5569
44	633	5550
45	647	5534
46	662	5522
47	675	5502
48	688	5481
49	701	5458
50	715	5442
51	727	5417
52	741	5397
53	754	5379
54	767	5359
55	780	5338
56	794	5322
57	806	5298
58	820	5286
59	834	5268
60	848	5260
61	862	5243
62	874	5221
63	888	5208
64	902	5193
65	917	5183
66	932	5179
67	947	5171
68	961	5156
69	974	5135
70	987	5119
71	1003	5113
72	1019	5113
73	1035	5106
74	1051	5102
75	1064	5085
76	1077	5065
77	1090	5048
78	1102	5025
79	1116	5012
80	1131	5003
81	1146	4992
82	1160	4979
83	1176	4970
84	1189	4954
85	1204	4943
86	1217	4925
87	1231	4910
88	1246	4900
89	1257	4877
90	1273	4868
91	1287	4854
92	1300	4836
93	1313	4819
94	1325	4799
95	1337	4778
96	1351	4763
97	1362	4740
98	1374	4721
99	1387	4702
100	1399	4683
101	1412	4666
102	1425	4649
103	1438	4634
104	1451	4618
105	1466	4605
106	1479	4590
107	1494	4579
108	1506	4560
109	1519	4545
110	1532	4529
111	1546	4516
112	1560	4503
113	1573	4487
114	1588	4475
115	1601	4458
116	1614	4442
117	1626	4425
118	1639	4409
119	1653	4395
120	1667	4382
121	1680	4366
122	1695	4357
123	1707	4338
124	1722	4326
125	1736	4313
126	1749	4299
127	1764	4287
128	1777	4270
129	1790	4256
130	1804	4241
131	1816	4224
132	1830	4211
133	1844	4198
134	1856	4179
135	1869	4165
136	1883	4152
137	1898	4141
138	1911	4125
139	1925	4112
140	1938	4097
141	1952	4084
142	1966	4069
143	1980	4057
144	1993	4042
145	2006	4027
146	2024	4021
147	2042	4016
148	2057	4004
149	2070	3988
150	2082	3971
151	2094	3955
152	2111	3946
153	2125	3933
154	2139	3919
155	2154	3907
156	2168	3894
157	2184	3884
158	2199	3873
159	2213	3859
160	2228	3847
161	2241	3832
162	2257	3822
163	2271	3808
164	2284	3793
165	2298	3779
166	2312	3765
167	2325	3751
168	2339	3737
169	2352	3722
170	2365	3706
171	2377	3691
172	2390	3675
173	2404	3661
174	2416	3644
175	2429	3630
176	2442	3614
177	2456	3602
178	2469	3587
179	2483	3574
180	2497	3559
181	2510	3545
182	2524	3531
183	2537	3516
184	2551	3503
185	2565	3489
186	2579	3475
187	2593	3462
188	2606	3447
189	2619	3433
190	2633	3419
191	2646	3404
192	2661	3392
193	2676	3379
194	2689	3365
195	2704	3352
196	2717	3338
197	2730	3324
198	2744	3310
199	2757	3295
200	2771	3281
201	2783	3265
202	2797	3252
203	2809	3236
204	2823	3222
205	2836	3208
206	2851	3195
207	2865	3182
208	2878	3167
209	2891	3152
210	2904	3138
211	2919	3126
212	2934	3113
213	2948	3100
214	2961	3085
215	2975	3071
216	2988	3057
217	3001	3042
218	3017	3031
219	3033	3019
220	3049	3007
221	3064	2995
222	3078	2981
223	3093	2969
224	3108	2956
225	3121	2941
226	3136	2928
227	3150	2915
228	3164	2901
229	3177	2887
230	3191	2873
231	3203	2858
232	3216	2843
233	3228	2828
234	3243	2815
235	3257	2802
236	3274	2791
237	3288	2777
238	3302	2763
239	3315	2749
240	3328	2735
241	3342	2721
242	3355	2706
243	3369	2692
244	3383	2679
245	3396	2664
246	3411	2651
247	3425	2637
248	3439	2624
249	3452	2609
250	3465	2595
251	3478	2581
252	3493	2568
253	3507	2554
254	3519	2539
255	3532	2525
256	3546	2511
257	3557	2496
258	3570	2481
259	3584	2467
260	3596	2453
261	3614	2441
262	3628	2428
263	3641	2413
264	3654	2399
265	3667	2385
266	3680	2370
267	3693	2356
268	3707	2342
269	3721	2329
270	3735	2315
271	3748	2301
272	3762	2287
273	3775	2273
274	3789	2259
275	3802	2245
276	3815	2231
277	3828	2217
278	3841	2202
279	3853	2188
280	3868	2175
281	3883	2162
282	3897	2148
283	3909	2133
284	3922	2119
285	3935	2105
286	3948	2091
287	3962	2077
288	3976	2063
289	3991	2051
290	4006	2037
291	4020	2024
292	4038	2012
293	4051	1998
294	4068	1986
295	4082	1972
296	4095	1957
297	4108	1944
298	4123	1930
299	4137	1917
300	4153	1904
301	4167	1890
302	4182	1877
303	4196	1863
304	4211	1850
305	4225	1836
306	4238	1822
307	4253	1808
308	4266	1795
309	4279	1780
310	4292	1766
311	4306	1752
312	4319	1738
313	4331	1724
