iter	RMSE
0	20.3820877
1	19.47551257
2	18.71027538
3	18.21891172
4	17.64329479
5	17.25171053
6	16.83322693
7	16.55676818
8	16.24416935
9	15.92371012
10	15.69657325
11	15.563974
12	15.33703658
13	15.05216357
14	14.90932192
15	14.72825202
16	14.55028205
17	14.39050757
18	14.20296549
19	14.01210744
20	13.83319212
21	13.70496495
22	13.58175272
23	13.45884946
24	13.32681335
25	13.22992091
26	13.12122147
27	13.00956364
28	12.89689447
29	12.75113292
30	12.63870021
31	12.55699079
32	12.42349766
33	12.34936538
34	12.24503314
35	12.1325373
36	12.04552993
37	11.95811347
38	11.88033525
39	11.778207
40	11.66822029
41	11.55560822
42	11.45761175
43	11.42504811
44	11.33651034
45	11.25225625
46	11.15392439
47	11.09160154
48	11.01707951
49	10.96834492
50	10.89323224
51	10.85459318
52	10.79125498
53	10.72391427
54	10.68291882
55	10.62637785
56	10.56322128
57	10.52056301
58	10.44498662
59	10.38053146
60	10.29029022
61	10.24050216
62	10.20738193
63	10.1202131
64	10.07353218
65	9.990437977
66	9.902111422
67	9.827753767
68	9.773048754
69	9.734672539
70	9.691593841
71	9.632891323
72	9.576530523
73	9.52840455
74	9.457372342
75	9.420755653
76	9.38763897
77	9.330478683
78	9.305130315
79	9.244757035
80	9.169922524
81	9.130518881
82	9.102443933
83	9.039419983
84	9.005077642
85	8.940490131
86	8.898069905
87	8.857655796
88	8.817444407
89	8.802008443
90	8.723123532
91	8.681044392
92	8.646291408
93	8.617134287
94	8.600144722
95	8.575533986
96	8.53207692
97	8.51544899
98	8.475903518
99	8.458396658
100	8.428465845
101	8.401247174
102	8.36924022
103	8.339116899
104	8.312188543
105	8.267973599
106	8.238054329
107	8.201915962
108	8.181633839
109	8.147672452
110	8.119813147
111	8.077577917
112	8.039142119
113	8.0092007
114	7.978169168
115	7.946401408
116	7.907530716
117	7.882389917
118	7.86107208
119	7.831162832
120	7.789724992
121	7.774917219
122	7.737110652
123	7.715043759
124	7.668018752
125	7.625664909
126	7.588300824
127	7.53993141
128	7.523812878
129	7.493837654
130	7.465115243
131	7.446641825
132	7.40347403
133	7.366256257
134	7.352727414
135	7.319371526
136	7.284496886
137	7.250863501
138	7.226943231
139	7.196343277
140	7.170406713
141	7.131314756
142	7.100470992
143	7.066332115
144	7.05129428
145	7.023489156
146	6.995679086
147	6.972081979
148	6.945162794
149	6.921899402
150	6.903916489
151	6.887412139
152	6.864452847
153	6.835252888
154	6.815060724
155	6.795135513
156	6.767115872
157	6.736586077
158	6.702623752
159	6.677531191
160	6.642667419
161	6.631623367
162	6.58637149
163	6.565334814
164	6.548596178
165	6.52025332
166	6.496904373
167	6.469723172
168	6.447875511
169	6.425228908
170	6.412723114
171	6.395046379
172	6.377619062
173	6.35469463
174	6.342972323
175	6.323454235
176	6.308034621
177	6.270970112
178	6.252966963
179	6.22141893
180	6.202698262
181	6.188071592
182	6.161764884
183	6.145917832
184	6.119699792
185	6.099792926
186	6.082037343
187	6.058466364
188	6.040154997
189	6.016268854
190	5.99267991
191	5.97768599
192	5.951492525
193	5.931606055
194	5.91354449
195	5.885956831
196	5.869844248
197	5.853137572
198	5.824456779
199	5.808341612
200	5.783250293
201	5.767534487
202	5.745035549
203	5.731199863
204	5.716939257
205	5.693235168
206	5.666196971
207	5.651339754
208	5.639504228
209	5.622365185
210	5.6071608
211	5.594816431
212	5.566991041
213	5.549167388
214	5.535381489
215	5.516759756
216	5.498597097
217	5.485612339
218	5.471069657
219	5.454857095
220	5.437896296
221	5.420436085
222	5.400514436
223	5.393814716
224	5.372326605
225	5.359221228
226	5.33825997
227	5.323286549
228	5.306648504
229	5.293587499
230	5.279478571
231	5.268885558
232	5.258573321
233	5.248628558
234	5.217691607
235	5.202638711
236	5.181296968
237	5.167783523
238	5.152181396
239	5.137731942
240	5.128584277
241	5.108348413
242	5.096960139
243	5.086999364
244	5.068290238
245	5.058777177
246	5.043813982
247	5.030128433
248	5.019184009
249	5.010627978
250	4.999229761
251	4.992560893
252	4.974174079
253	4.96223933
254	4.951614232
255	4.937352214
256	4.925007332
257	4.917435798
258	4.910326133
259	4.896917608
260	4.887762993
261	4.874094886
262	4.858716412
263	4.848842827
264	4.827486588
265	4.816796128
266	4.805891281
267	4.793857542
268	4.778292596
269	4.763569818
270	4.748961398
271	4.732029354
272	4.713164504
273	4.703670385
274	4.692055988
275	4.684055508
276	4.668861978
277	4.657717946
278	4.647026387
279	4.638342674
280	4.617883611
281	4.599303823
282	4.583375891
283	4.577947531
284	4.568316741
285	4.55428223
286	4.542640071
287	4.531009194
288	4.517267059
289	4.506086039
290	4.494231227
291	4.484922829
292	4.47545499
293	4.466588529
294	4.445469595
